Year,County,Waterbody,Town,Month,Number,Species,Size (Inches)
2011,Oneida,Mohawk river,NA,August,1000,Tiger Muskellunge,7.8
2016,Fulton,Hale Creek,Johnstown,January,680,Brown Trout,8
2013,Oneida,Fish Creek West Branch,Camden,April,730,Brown Trout,7.9
2015,Essex,Winch Pond,Wilmington,September,550,Brook Trout,4
2012,Ontario,Canandaigua Outlet,Manchester,March,180,Brown Trout,8.3
2014,Herkimer,Twitchell Lake,Webb,June,2000,Lake Trout,2.8
2014,Franklin,Polliwog Pond,Santa Clara,May,700,Lake Trout,6.8
2011,Chenango,Mill Brook Reservoir,New Berlin,April,2000,Rainbow Trout,7.9
2016,Onondaga,Spafford Brook,NA,March,325,Brown Trout,8
2015,Rensselaer,Kinderhook Creek,Stephentown,May,860,Brown Trout,7.8
2014,St Lawrence,Oswagatchie River,Cranberry Lake,June,10000,Brook Trout,2.1
2012,Orleans,Oak Orchard Creek,Carlton,April,14000,Steelhead,4.9
2012,Onondaga,Otisco lake,NA,May,2234,Brown Trout,13.7
2013,Chautauqua,Mill Creek,Gerry,April,800,Brook Trout,9.2
2018,Franklin,Ampersand Brook,Harrietstown,May,700,Brook Trout,8
2014,Steuben,Cohocton River,Cohocton,April,370,Brown Trout,13.3
2016,Essex,Moose Pond,St. Armand,April,300,Rainbow Trout,13
2011,Sullivan,Willowemoc Creek,Neversink,May,1020,Brown Trout,8.9
2011,St Lawrence,Lake Ozonia,Hopkinton,December,5000,Rainbow Trout,4.5
2012,Clinton,Military Pond,Black Brook,May,580,Brown Trout,7.8
2016,Ulster,Plattekill Creek,Saugerties,April,260,Brown Trout,9
2011,Essex,Moose Mountain Pond,North Hudson,October,1000,Brook Trout,4.2
2018,Sullivan,Beaver Kill,Rockland,April,1740,Brown Trout,9
2014,Washington,Hartshorn Brook,Greenwich,May,300,Brown Trout,8.1
2015,Cattaraugus,Harwood Lake,Farmersville,April,1840,Brook Trout,9.2
2013,Franklin,Panther Pond,Harrietstown,September,300,Brook Trout,4.1
2015,St Lawrence,Lilypad Pond,Parishville,October,500,Brook Trout,4.5
2014,Sullivan,Beaver Kill,Rockland,April,300,Brown Trout,13.7
2016,Chenango,Pharsalia Y Pond,Pharsalia,January,90,Brook Trout,8
2016,Madison,Chittenango Creek,Sullivan,January,860,Brown Trout,8
2017,Warren,Edgecomb Pond,Bolton,April,600,Rainbow Trout,9
2016,Franklin,Sumner Brook,Bloomingdale,March,240,Brook Trout,8
2013,Sullivan,Sandburg Creek,Fallsburg,April,20,Brown Trout,13.4
2018,Hamilton,Cedar Lake,Arietta,October,5980,Brook Trout,4.8
2018,Otsego,Canadarago Lake,Exeter,June,40000,Walleye,1.5
2013,Warren,Loon Lake,Chester,June,12000,Walleye,1.6
2018,Tompkins,Cayuga Inlet,Ithaca (C),May,11250,Rainbow Trout,6.1
2013,Essex,Hudson River,Minerva,May,5100,Rainbow Trout,7.7
2014,Lewis,Crystal Creek,NA,May,60,Brown Trout,9
2012,Essex,Eagle Lake,"Crown Point, Ticonderoga",April,4080,Brown Trout,8.9
2016,Dutchess,Wappingers Creek,Pleasant Valley,April,950,Brown Trout,8.9
2018,Oneida,West Canada Creek,"Trenton, Deerfield",April,3570,Brown Trout,7.8
2018,Dutchess,Sprout Creek,East Fishkill,March,1220,Brown Trout,9.3
2016,Monroe,Lake Ontario,Greece,May,23270,Brown Trout,9.2
2012,Sullivan,Neversink River,Thompson,May,750,Brown Trout,8.8
2017,Warren,Lake George,"Bolton, Hague",May,15000,Landlocked Salmon,7
2011,Seneca,Seneca Lake,Fayette,April,13400,Lake Trout,7.9
2011,Hamilton,Queer Lake,Long Lake,September,1200,Brook Trout,4.1
2011,Delaware,Delaware River West Branch,Harpersfield,May,420,Brown Trout,8.6
2015,Chenango,Pharsalia Y Pond,Pharsalia,April,90,Brook Trout,9.1
2015,Schuyler,Catharine Creek,Montour,May,10000,Rainbow Trout,6.2
2015,Fulton,Canada Lake,Caroga,May,2600,Lake Trout,6.6
2016,Jefferson,Lake Ontario,Henderson,May,40830,Lake Trout,6.4
2016,Hamilton,Sixth Lake,Inlet,April,1300,Rainbow Trout,8.7
2017,Oneida,Fish Creek East Branch,Annsville,May,3300,Brown Trout,8
2015,Onondaga,Limestone Creek,NA,March,400,Brook Trout,8
2015,Essex,Hatch Pond,North Hudson,October,500,Brook Trout,4.3
2017,Herkimer,Bubb Lake,Webb,October,1000,Brook Trout,4
2017,Herkimer,Little Hill Pond,NA,October,50,Brook Trout,4
2012,Rensselaer,Walloomsac River,Hoosick,April,1150,Brown Trout,8.1
2017,Westchester,Cross River Reservoir Outlet,Bedford,April,350,Rainbow Trout,9.1
2016,Chautauqua,Chautauqua Lake,"Chautauqua, Ellery",October,2840,Muskellunge,8.9
2013,Saratoga,Paul Creek,Edinburg,May,290,Brown Trout,8.9
2018,Ulster,Rochester Creek,Rochester,April,460,Brown Trout,9
2014,Westchester,Cross River Reservoir,Bedford,March,6590,Brown Trout,9
2015,Onondaga,Butternut Creek,NA,April,600,Brown Trout,12.7
2017,Cayuga,Sterling Creek,Sterling,April,4600,Steelhead,4.6
2018,St Lawrence,Curtis Pond,Colton,September,400,Brook Trout,4.5
2015,Onondaga,Green Lakes,NA,April,1500,Rainbow Trout,10.4
2018,Niagara,Eighteenmile Creek,Newfane,May,67100,Chinook,3.4
2012,Onondaga,Limestone creek,NA,May,700,Brown Trout,13.7
2011,Onondaga,Lafayette Optimist pond,NA,May,3,Rainbow Trout,25
2016,Erie,Cazenovia Creek-East Branch,Aurora,March,2670,Brown Trout,8.1
2016,Madison,Oneida Creek,Smithfield,January,190,Brown Trout,8
2017,Essex,Ausable River,Jay,April,700,Rainbow Trout,13
2017,Albany,Onesquethaw Creek,New Scotland,April,1070,Brown Trout,8.2
2017,Steuben,Canaseraga Creek,Dansville,April,500,Brown Trout,12.9
2017,Nassau,Oyster Bay Mill Pond,Oyster Bay,March,100,Brown Trout,12.8
2015,Westchester,Amawalk Inlet,Somers,April,300,Brown Trout,8.3
2012,Hamilton,South Branch West Canada Creek,"Hoffmeister,Morehouseville",April,250,Brown Trout,12.8
2016,Putnam,Lake Gilead,Carmel,May,700,Lake Trout,6.7
2017,Essex,North Branch Boquet River,Willsboro,April,600,Brook Trout,12
2012,Onondaga,Green Lakes,NA,March,1300,Rainbow Trout,9
2012,Essex,Oxshoe Pond,Schroon,May,150,Rainbow Trout,8
2013,Hamilton,Sacandaga River,Wells,May,1380,Brown Trout,8.7
2015,Hamilton,John Pond,Indian Lake,September,900,Brook Trout,3.75
2014,Essex,Baily Pond,Schroon,September,400,Brook Trout,3.8
2011,Jefferson,Remington Pond,Le Ray,April,940,Brook Trout,8.4
2016,Cattaraugus,Allegheny Reservoir,Coldspring,June,3260,Sauger,1.5
2012,Steuben,Cohocton River,Cohocton,April,530,Brown Trout,9.1
2015,Suffolk,Carlls River,Babylon,November,50,Brown Trout,12
2013,Onondaga,9-Mile,NA,April,1000,Brook Trout,7.9
2011,Essex,Munson Pond,North Hudson,October,250,Brook Trout,4.2
2017,Essex,Boreas River,Minerva,September,200,Rainbow Trout,20
2015,Ulster,Beer Kill,Wawarsing,May,390,Brown Trout,8.7
2018,Jefferson,Crystal Lake,Theresa,May,370000,Walleye,0.3
2011,Onondaga,Furnace brook,NA,March,50,Brook Trout,9.6
2017,Monroe,Lake Ontario,Webster,May,7280,Brown Trout,8
2012,Wyoming,Cattaraugus Creek,Java,April,600,Brown Trout,13
2013,Tioga,West Branch Owego Creek,Richford,May,1380,Brown Trout,9
2013,Oneida,Oriskany Creek,Kirkland,April,1330,Brown Trout,8.3
2015,Essex,West Branch Ausable River,North Elba,June,3080,Brown Trout,7.9
2017,Suffolk,Carmans River,Brookhaven,April,250,Brown Trout,8.9
2011,Washington,Whipple Brook,Cambridge,March,370,Brook Trout,8.4
2017,Monroe,Lake Ontario,Greece,May,15000,Brown Trout,8.1
2013,Sullivan,Sandburg Creek,Fallsburg,April,180,Brown Trout,8.5
2011,Franklin,Lake Colby,Harrietstown,May,3400,Rainbow Trout,7.9
2017,Suffolk,Nissequogue River,Smithtown,April,150,Rainbow Trout,9.1
2013,Oswego,Oneida Lake,Constantia,May,153220000,Walleye,0.4
2017,Franklin,Polliwog Pond,Santa Clara,April,1240,Brown Trout,8
2018,Wyoming,Tonawanda Creek,Orangeville,March,1040,Brown Trout,8.7
2013,Essex,Westport Club Pond,Westport,April,100,Brook Trout,8
2012,Franklin,Lydia Pond,Santa Clara,November,190,Brook Trout,4.3
2017,St Lawrence,Long Pond,Colton,September,1200,Brook Trout,4
2018,Tioga,Catatonk Creek,Candor,April,1390,Brown Trout,9
2012,Rensselaer,Tackawasick Creek,Nassau,April,530,Brown Trout,7.9
2014,Onondaga,Tannery Creek,NA,March,100,Brook Trout,8.6
2012,Ulster,Yager Stream,Saugerties,May,270,Brown Trout,8.8
2018,Onondaga,Nine Mile,NA,March,600,Brook Trout,9
2014,Washington,Batten Kill,Greenwich,May,560,Brown Trout,8.1
2016,Hamilton,Carry Pond,Lk Pleasant,September,200,Brook Trout,4
2014,Essex,COURTNEY POND,NORTH HUDSON,April,100,Rainbow Trout,13
2015,Franklin,Salmon River,Malone,May,5310,Brown Trout,7.9
2018,Sullivan,Callicoon Creek,Delaware,April,700,Brown Trout,9
2013,Hamilton,Bear Lake,Morehouse,September,200,Brook Trout,3.7
2014,Fulton,Wolford's Pond,Johnstown,June,180,Brown Trout,8.3
2018,Tompkins,Cayuga Lake,Ithaca (T),May,13000,Landlocked Salmon,7.1
2015,Dutchess,Whaley Lake Brook,Beekman,April,560,Brown Trout,8.1
2018,Onondaga,Butternut Creek,NA,April,450,Brown Trout,7.8
2015,St Lawrence,Grass River,Russell,May,770,Brown Trout,8
2014,Rockland,Pascack Brook,Orangetown,March,180,Brown Trout,8.8
2016,Essex,Big Marsh Pond,North Hudson,October,1300,Brook Trout,4.2
2017,Essex,Boquet River,Essex,April,1000,Brown Trout,12
2013,Clinton,Salmon River,Plattsburgh & Schuyler Falls,April,3420,Brown Trout,8
2015,Oswego,North Branch Salmon River,Redfield,April,1750,Brook Trout,9.3
2016,Essex,West Branch Ausable River,North Elba,April,640,Brook Trout,8
2013,Greene,Schoharie Creek,Lexington,May,1850,Brown Trout,9
2012,Essex,Ausable River (Clintonville-Keeseville),Chesterfield,April,200,Rainbow Trout,14
2013,Fulton,Bacon Brook,Oppenheim,October,400,Brown Trout,4.8
2013,Steuben,Canisteo River,Hornellsville,May,800,Brown Trout,9
2014,Columbia,Claverack Creek,Claverack,April,200,Brown Trout,13.3
2013,Tompkins,Sixmile Creek,Caroline,April,190,Brown Trout,13.8
2018,Allegany,"Dodge Creek, T17",Clarksville,March,350,Brook Trout,9
2017,Herkimer,West Canada Creek,"Fairfield, Newport",May,4370,Brown Trout,8
2017,Delaware,Big Pond,Andes,May,210,Brown Trout,8.8
2016,Rockland,Mahwah River,Ramapo,March,690,Brown Trout,8.9
2014,Oneida,Wood Creek,Rome,April,790,Brown Trout,8.1
2018,Essex,Crane Pond,Schroon,May,450,Lake Trout,6.7
2011,Oswego,Lake Ontario,Oswego,July,12000,Brown Trout,9.5
2017,Oswego,Salmon River,Albion,May,800,Brown Trout,13.4
2017,Onondaga,Onondaga Creek,NA,April,200,Brown Trout,8
2015,Essex,North Branch Boquet River,Willsboro,April,600,Brook Trout,7
2018,Wayne,Lake Ontario,Williamson,June,4880,Brown Trout,8.1
2018,Ulster,Plattekill Creek,Saugerties,April,310,Brown Trout,12.7
2015,Cattaraugus,Red House Brook,Red House,April,940,Brown Trout,8.7
2012,Cattaraugus,Ischua Creek,Franklinville,April,150,Brown Trout,13.2
2015,Cortland,Little York Lake,Homer,April,5000,Rainbow Trout,8.7
2011,Dutchess,Roeliff Jansen Kill,Milan,March,400,Brown Trout,13.4
2014,Erie,Cazenovia Creek-East Branch,Aurora,March,300,Brown Trout,13.9
2017,Delaware,Beaver Kill,Colchester,April,400,Brown Trout,13.3
2011,Hamilton,Middle Sargent Pond,Arietta,September,350,Brook Trout,4.1
2012,Jefferson,Black River,Hounsfield,April,36000,Steelhead,4.9
2012,Erie,Ellicott Creek,Amherst,April,1250,Rainbow Trout,9.4
2017,Essex,Paradox Lake,Schroon,May,500,Landlocked Salmon,7
2015,Essex,Trout Brook,Ticonderoga,April,250,Brown Trout,12
2011,Cattaraugus,Bay State Brook,Red House,March,470,Brown Trout,8.2
2011,Lewis,Crystal Creek,New Bremen,April,470,Brown Trout,8
2013,Tompkins,Salmon Creek,Lansing,October,20000,Rainbow Trout,2.5
2013,Cattaraugus,"Red House Bk, T17",Red House,April,510,Brown Trout,8.7
2012,Franklin,Clamshell Pond,Santa Clara,November,633,Brook Trout,4.3
2013,Onondaga,Limestone Creek,NA,April,600,Brown Trout,8.4
2018,Hamilton,Wilson Pond,Indian Lake,September,240,Brook Trout,5
2012,Chenango,Genegantslet Creek,Mcdonough,April,400,Brown Trout,7.9
2014,Essex,Big Sherman Pond,Minerva,May,150,Brown Trout,7.8
2012,Essex,Mckenzie Pond,"N. Elba, St. Armand",May,250,Landlocked Salmon,7
2018,Warren,Jabe Pond,NA,October,6150,Brook Trout,3.5
2018,Cattaraugus,Little Conewango Creek,Conewango,March,1520,Brown Trout,9
2013,Chautauqua,Lake Erie,Sheridan,April,7270,Brown Trout,8.9
2015,Genesee,Oatka Creek,Le Roy,May,2480,Brown Trout,8.7
2014,Clinton,North Branch Saranac River,Black Brook and Saranac,April,4600,Brook Trout,8.5
2017,Steuben,Canaseraga Creek,Dansville,April,2890,Brown Trout,8.9
2017,Broome,Nanticoke Creek,Union,April,290,Brown Trout,12.6
2016,Erie,Cattaraugus Creek,Sardinia,April,2590,Brown Trout,8.3
2014,Columbia,Roeliff Jansen Kill,Gallatin,April,2410,Brown Trout,8
2012,Chautauqua,Mill Creek,Gerry,April,100,Brown Trout,13
2015,Chenango,Bowman Lake,Mcdonough,April,610,Brook Trout,9.1
2013,Delaware,Charlotte Creek,Davenport,April,300,Brown Trout,13.3
2011,Hamilton,Lost Ponds,Inlet,October,1000,Brook Trout,3.6
2012,Essex,Mirror Lake,North Elba,April,1000,Rainbow Trout,14
2016,Madison,Upper Lelands Pond,Eaton,January,1450,Brown Trout,8
2016,Cortland,West Branch Tioughnioga River,Homer,May,730,Brown Trout,8.1
2018,Herkimer,Moose River,Webb,April,2000,Brook Trout,8.3
2016,Herkimer,Bear Pond,Webb,January,2800,Brook Trout,5
2017,Delaware,Ouleout Creek South Fork,Franklin,April,250,Brown Trout,8.9
2012,Warren,Halfway Brook,Queensbury,March,55,Brook Trout,8.93
2014,St Lawrence,Ozonia Lake,Hopkinton,May,1000,Landlocked Salmon,7
2015,Herkimer,South Lake,NA,June,9910,Brook Trout,2.9
2011,Rensselaer,Second Pond,Grafton,April,400,Rainbow Trout,8.8
2016,Oneida,West Canada Creek,"Trenton, Deerfield",January,3510,Brown Trout,8
2018,Ulster,Rondout Reservoir,"Denning, Wawarsing",May,4610,Brown Trout,9.4
2014,St Lawrence,Oswegatchie River,Clifton,May,260,Brown Trout,13.7
2014,Fulton,Zimmerman Creek,"Ephratah, Oppenheim",April,440,Brown Trout,8.1
2011,Onondaga,Limestone Creek (West Branch),NA,March,300,Brown Trout,8
2016,Jefferson,Millsite Lake,Theresa,April,500,Landlocked Salmon,7.3
2013,Herkimer,Quiver Pond,Webb,May,300,Brook Trout,9.3
2011,Niagara,Lower Niagara River,Lewiston,May,10000,Steelhead,4.7
2013,Tioga,Cayuta Creek,Barton,April,1600,Brown Trout,9
2017,Essex,Munson Pond,North Hudson,May,170,Brown Trout,8
2012,Sullivan,Sandburg Creek,Fallsburg,April,70,Brown Trout,13.7
2011,Onondaga,Butternut Creek,NA,May,100,Brook Trout,10
2016,Clinton,Upper Chateaugay Lake,Dannemora,April,2820,Lake Trout,6.7
2012,Broome,East Branch Nanticoke Creek,Maine,May,40,Brown Trout,9.6
2016,Allegany,Allen Lake,Allen,April,500,Brown Trout,13.9
2016,Dutchess,Fishkill Creek,Beekman,March,3620,Brown Trout,9
2014,Delaware,Launt Pond,Tompkins,October,1300,Rainbow Trout,6.1
2014,Sullivan,Sandburg Creek,Fallsburg,April,20,Brown Trout,13.5
2012,Essex,East Branch Ausable River,Keene,January,1000,Rainbow Trout,5
2011,Otsego,Butternut Creek,Burlington,May,130,Brown Trout,8.3
2016,Hamilton,Buck Pond,Morehouse,January,400,Brook Trout,5
2011,Delaware,Launt Pond,Tompkins,May,650,Brook Trout,8.8
2015,Herkimer,Big Moose Lake,Webb,June,3500,Brook Trout,9.1
2016,Hamilton,White Lake,Benson,January,400,Brook Trout,5
2014,Lewis,Little Otter Lake,NA,June,1250,Brook Trout,10
2011,Onondaga,Fabius Brook,NA,March,600,Brook Trout,8
2014,Cattaraugus,Harwood Lake,Farmersville,May,2500,Brook Trout,9.7
2016,Oneida,Mohawk River,Western,January,2480,Brown Trout,8
2015,Herkimer,Prospect Rs,Russia,November,760,Rainbow Trout,6.2
2017,Chemung,Newtown Creek,Horseheads,March,80,Brown Trout,12.7
2012,Monroe,Irondequoit Creek,Pittsford,April,710,Brown Trout,7.9
2011,Columbia,Kinderhook Creek,Kinderhook,April,340,Brown Trout,8.2
2011,Suffolk,Lower Lake,Brookhaven,April,200,Brown Trout,13.1
2014,Onondaga,Town of sullivan,NA,April,225,Rainbow Trout,3.3
2011,Essex,Moose Pond,St. Armand,May,1300,Rainbow Trout,8.7
2013,Hamilton,Lost Ponds,Inlet,September,600,Brook Trout,3.7
2016,Greene,Batavia Kill,Windham,April,430,Brown Trout,9
2015,Oneida,Cincinnati Creek,Trenton,May,730,Brown Trout,8
2016,Warren,Schroon River,Riverbank,April,100,Rainbow Trout,15
2011,Allegany,Chenunda Creek,Willing,April,250,Brown Trout,8.3
2011,St Lawrence,Grass River South Br,Clare,May,2620,Brown Trout,8.3
2012,Washington,West Branch Black Creek,Hebron,April,290,Brook Trout,9.2
2017,Putnam,Middle Branch Reservoir,Southeast,September,2200,Tiger Muskellunge,9.5
2011,Hamilton,Ross Pond,Indian Lake,September,700,Brook Trout,4.6
2012,Essex,Moose Pond,St. Armand,April,400,Brook Trout,6
2011,Dutchess,Swamp River,Dover,April,130,Brown Trout,8.4
2011,Cattaraugus,Harwood Lake,Farmersville,May,1960,Brook Trout,9.2
2011,Rockland,Cedar Pond Brook,Stony Point,April,170,Brown Trout,8.5
2012,Essex,Lincoln Pond,E'town,September,3000,Tiger Muskellunge,10.5
2018,Erie,Sprague Brook Park - Foote Ro,Concord,April,90,Rainbow Trout,9.1
2018,Steuben,Cohocton River,Cohocton,April,180,Brown Trout,12.9
2014,Wyoming,Cattaraugus Creek,Java,March,2110,Brown Trout,8.9
2016,Delaware,Big Pond,Andes,September,120,Brown Trout,15.8
2012,Cattaraugus,Little Conewango Creek,Conewango,April,1020,Brown Trout,8
2018,Cattaraugus,Franklinville Retention Pond,Franklinville,April,400,Brook Trout,9.2
2017,Essex,Black Pond,Minerva,October,400,Brook Trout,5
2017,Cattaraugus,Olean Creek,Olean (Town),April,170,Brown Trout,9
2017,Ulster,Sandburg Creek,Wawarsing,May,120,Brown Trout,8.6
2015,Chautauqua,Chautauqua Creek,Westfield,April,60000,Steelhead,4.9
2018,Warren,Hovey Pond,Queensbury,April,300,Brook Trout,10.5
2017,Erie,Cazenovia Creek-East Branch,Aurora,April,10000,Steelhead,4.5
2016,Jefferson,Remington Pond,Le Ray,January,880,Brook Trout,8
2016,Essex,Coldspring Pond,North Elba,October,150,Brook Trout,4
2012,Hamilton,Cascade Pond,Indian Lake,October,1000,Brook Trout,4.1
2016,St Lawrence,Grasse River South Br,Clare,October,4000,Brook Trout,4.2
2014,Fulton,West Caroga Lake,Caroga,May,5200,Splake,8.4
2018,Saratoga,Great Sacandaga Lake,Day,April,3000,Rainbow Trout,8.3
2011,Essex,Rogers Brook,Schroon,May,250,Brown Trout,8.3
2016,Tioga,West Branch Owego Creek,Richford,March,3280,Brown Trout,8.9
2012,Orleans,Lake Ontario,Carlton,October,39420,Lake Trout,5.6
2015,Hamilton,Sacandaga Lake,Lake Pleasant,May,2800,Lake Trout,6.2
2011,Onondaga,Carpenter's Brook,NA,April,200,Brown Trout,13
2016,Essex,Trout Brook,Ticonderoga,March,250,Brown Trout,12
2014,Westchester,Pocantico River,Mount Pleasant,April,100,Brown Trout,13.5
2016,Erie,Sprague Brook Park - Foote Ro,Concord,April,50,Brown Trout,13.9
2018,Rensselaer,Tackawasick Creek,Nassau,April,520,Brown Trout,7.8
2011,Chemung,Cayuta Creek,Van Etten,April,4570,Brown Trout,9.1
2014,Erie,Cayuga Creek,Lancaster,April,10000,Steelhead,4.6
2017,Cattaraugus,Quaker Lake,NA,October,110,Rainbow Trout,27.5
2016,Oneida,West Canada Creek,Trenton,January,940,Brown Trout,8
2017,Monroe,Lake Ontario,Greece,May,7280,Brown Trout,8.1
2016,Hamilton,Brown Lake,Arietta,January,350,Brook Trout,5
2015,Steuben,Cohocton River,Cohocton,March,370,Brown Trout,13.4
2012,Cattaraugus,Harwood Lake,Farmersville,March,350,Brown Trout,13.4
2018,Saratoga,Geyser Brook,Saratoga Springs,April,960,Brown Trout,8
2012,Allegany,Allen Lake,Allen,March,500,Brown Trout,13.4
2017,Franklin,Track Pond,Santa Clara,September,300,Brook Trout,4
2014,Saratoga,Geyser Brook,Saratoga Springs,April,970,Brown Trout,8
2013,Hamilton,Upper Mitchell Pond,Inlet,May,150,Brown Trout,7.8
2013,Warren,Schroon River,Warrensburg,April,400,Brook Trout,10.5
2014,Oneida,"Fish Creek, West Branch",NA,May,50,Brown Trout,9
2012,St Lawrence,Pine Pond,Piercefield,November,380,Brook Trout,4.3
2014,Cattaraugus,Lime Lake,Machias,September,800,Tiger Muskellunge,8.5
2011,Hamilton,Squaw Lake,Morehouse,October,3000,Brook Trout,3.6
2017,Erie,Sprague Brook Park - Foote Ro,Concord,April,50,Brown Trout,12.6
2015,Lewis,Oswegatchie River West Branch,Diana,May,700,Brook Trout,9.1
2017,Herkimer,West Canada Creek,Ohio,May,2810,Brown Trout,8
2017,Jefferson,Stony Creek,Henderson,May,2480,Brown Trout,7.1
2011,Essex,Vanderwacker Pond,North Hudson,June,250,Brown Trout,8.3
2014,Franklin,Black Pond,Brighton,May,2800,Brook Trout,2.5
2018,Cattaraugus,Ischua Creek,Franklinville,April,700,Brown Trout,9
2018,Columbia,Queechy Lake,Canaan,April,1570,Rainbow Trout,9.4
2015,Sullivan,Sandburg Creek,Fallsburg,April,20,Brown Trout,12.8
2014,Columbia,Roeliff Jansen Kill,Clermont,April,180,Brown Trout,13.9
2014,Putnam,Croton River East Branch,Southeast,April,2410,Brown Trout,8.5
2012,Hamilton,Lower Mitchell Pond,Inlet,May,310,Brown Trout,7.7
2011,Chautauqua,Conewango Ck W Br,Villenova,April,550,Brown Trout,8.3
2017,Putnam,Croton River East Branch,Southeast,April,1600,Rainbow Trout,9.1
2015,Suffolk,Nissequogue River,Smithtown,April,200,Brown Trout,13
2011,Otsego,Wharton Creek,Burlington,April,1190,Brown Trout,8.2
2012,Tompkins,Enfield Creek,Ithaca (C),May,9600,Rainbow Trout,5.4
2018,Franklin,Salmon River,Malone,May,5390,Brown Trout,8.2
2018,Dutchess,Crum Elbow Creek,Hyde Park,March,700,Brown Trout,9.1
2013,Steuben,Meads Creek,Campbell,March,2570,Brown Trout,8.8
2015,Cattaraugus,Wrights Creek,Humphrey,March,730,Brown Trout,8.5
2016,Oneida,Oriskany Creek,"Kirkland, Marshall",January,3420,Brown Trout,8
2015,Franklin,Ochre Pond,Santa Clara,September,900,Brook Trout,4.5
2018,Delaware,Delaware River East Branch,Middletown,April,350,Brown Trout,13
2012,Tioga,Tri-county Pond,Richford,May,200,Rainbow Trout,9.4
2013,Jefferson,Black River,Brownville,May,159000,Chinook,3
2017,Dutchess,Sprout Creek,La Grange,March,580,Brown Trout,8.3
2013,Onondaga,Green Lake,Dewitt,May,30000,Walleye,0.4
2013,Ulster,Sandburg Creek,Wawarsing,May,110,Brown Trout,9.2
2014,Allegany,Genesee River,Wellsville,March,2200,Brown Trout,8.9
2014,Orange,Shawangunk Kill,Crawford,March,1310,Brown Trout,8.8
2014,Herkimer,Tied Lake,Webb,September,200,Brook Trout,4.4
2014,Herkimer,Fourth Lake,Inlet,June,4000,Lake Trout,2.8
2018,Chenango,Genegantslet Creek,Smithville,April,960,Brown Trout,8
2011,Tompkins,Salmon Creek,Lansing,October,20000,Rainbow Trout,2.8
2016,Sullivan,Willowemoc Creek,Rockland,April,120,Brown Trout,13.8
2012,Tompkins,Cayuga Lake,Ithaca (T),May,5000,Lake Trout,3.4
2017,Jefferson,Black River,Brownville,May,36000,Steelhead,4
2013,Orleans,Oak Orchard Creek,Carlton,October,26000,Coho,4
2014,Herkimer,Spruce Creek,Salisbury,April,2640,Brown Trout,7.9
2011,Herkimer,Steele Creek,German Flats,April,900,Rainbow Trout,8.1
2016,Dutchess,Fishkill Creek,Fishkill,March,1640,Brown Trout,9
2013,Putnam,Croton River East Branch,Southeast,April,400,Rainbow Trout,8.9
2015,Essex,Hudson River,Minerva,May,2300,Rainbow Trout,8
2018,Suffolk,Carlls River,Babylon,March,90,Rainbow Trout,8.9
2012,Essex,willsboro Club POnd 1,Willsborro,April,100,Brook Trout,8.2
2018,Ulster,Sandburg Creek,Wawarsing,May,130,Brown Trout,9.2
2011,Chautauqua,Goose Creek,"N Harmony, Harmony",March,420,Brown Trout,8.3
2013,Fulton,Wolford's Pond,Johnstown,May,150,Brown Trout,8
2015,Essex,Ausable River,Jay,June,200,Rainbow Trout,13
2012,Nassau,Massapequa Creek,Oyster Bay,March,400,Rainbow Trout,8.9
2013,Franklin,St. Regis River,Dickinson,April,1000,Brown Trout,13
2017,Niagara,Eighteenmile Creek,Newfane,May,67100,Chinook,3.6
2015,Dutchess,Wappingers Creek,Pleasant Valley,March,520,Brown Trout,13.1
2011,Rensselaer,Long Pond,Grafton,April,1400,Rainbow Trout,8.8
2018,Ulster,Sandburg Creek,Wawarsing,April,1040,Brown Trout,9
2013,Chautauqua,Silver Creek,Hanover,April,10000,Steelhead,4.7
2016,Clinton,North Branch Great Chazy River,Mooers,April,1340,Brown Trout,8.4
2014,Warren,GLEN LAKE,Queensbury,May,500,Rainbow Trout,9.5
2011,Cayuga,Lake Como,Summer Hill,September,200,Tiger Muskellunge,10.5
2018,Onondaga,Butternut Creek,NA,May,600,Brook Trout,7.8
2011,Essex,Triangle Pond,North Hudson,October,150,Brook Trout,4.2
2016,Allegany,Genesee River,Wellsville,May,1120,Brown Trout,9.6
2016,Cattaraugus,Guernsey Run,South Valley,March,170,Brown Trout,8.2
2014,Hamilton,Owl Pond,Arietta,September,300,Brook Trout,3.7
2013,Schoharie,Mallet Pond,Fulton,May,230,Rainbow Trout,9
2016,Delaware,Big Pond,Andes,September,70,Brown Trout,15.8
2011,Cattaraugus,Ischua Creek,Franklinville,April,200,Brown Trout,13.5
2013,Dutchess,Wappingers Creek,Pleasant Valley,March,3490,Brown Trout,8.6
2014,Monroe,Lake Ontario,Webster,November,26170,Lake Herring (Cisco),0.3
2014,Madison,Canaseraga Creek,Sullivan,May,250,Brown Trout,8.1
2011,Hamilton,Grant Lake,Benson,September,100,Brook Trout,4.1
2018,Greene,Schoharie Creek,Lexington,May,2220,Brown Trout,9.1
2014,Hamilton,Sacandaga Lake,Lake Pleasant,June,32000,Walleye,1.6
2012,Oneida,Fish Creek West Branch,Camden,May,530,Brown Trout,8.5
2012,Washington,White Creek,Salem,April,1420,Brown Trout,7.9
2018,Franklin,Little Salmon River,Moira & Bangor,April,2090,Brown Trout,8.7
